Pattern Groups For Guesses From The Large Vocabulary Wordslist (14855) Into Wordlebot’s Possible Solutions List  (11/05/2024)											
							
guess	qty	ent min max ave exp p2
bikes	85	4.518	1	564	37.52	246.24	7,830.91
dicty	100	4.518	1	707	31.89	271.40	7,637.88
sycon	93	4.518	1	756	34.29	279.65	8,413.63
frays	87	4.517	1	611	36.66	246.66	7,697.70
thyme	88	4.517	1	514	36.24	252.22	7,826.75
dukes	92	4.517	1	633	34.66	257.07	7,709.42
avoid	107	4.517	1	569	29.80	262.97	6,949.11
glove	102	4.517	1	599	31.27	274.57	7,607.00
fours	99	4.517	1	705	32.21	279.24	7,957.26
sorts	88	4.517	1	734	36.24	280.10	8,837.18
malik	95	4.517	1	737	33.57	287.98	8,540.29
pangs	92	4.517	1	764	34.66	288.03	8,782.38
pyots	101	4.517	1	767	31.57	292.36	8,234.17
begin	107	4.517	1	624	29.80	292.43	7,827.35
swaly	98	4.517	1	759	32.54	293.76	8,500.27
geest	105	4.517	1	711	30.37	297.65	8,117.60
sownd	100	4.517	1	830	31.89	305.41	8,722.50
phots	106	4.517	1	864	30.09	328.93	8,990.70
ryked	84	4.516	1	580	37.96	245.37	7,873.99
kilos	96	4.516	1	655	33.22	261.39	7,579.55
sambo	92	4.516	1	651	34.66	263.50	7,932.11
mbars	91	4.516	1	653	35.04	266.14	8,098.59
fonda	91	4.516	1	606	35.04	269.70	8,223.38
rorts	87	4.516	1	734	36.66	275.63	8,759.79
vinal	113	4.516	1	702	28.22	283.69	7,209.68
nauch	101	4.516	1	764	31.57	293.92	8,283.29
humor	102	4.516	1	767	31.27	296.02	8,277.41
spiny	102	4.516	1	862	31.27	319.61	9,015.16
dingo	114	4.516	1	828	27.97	319.85	8,164.97
bluid	112	4.516	1	856	28.47	323.25	8,393.14
zoeas	67	4.515	1	461	47.60	207.77	7,623.97
nexal	92	4.515	1	474	34.66	233.73	6,900.29
fyles	89	4.515	1	531	35.83	240.33	7,327.33
kawed	92	4.515	1	615	34.66	256.89	7,703.16
nsima	94	4.515	1	598	33.93	258.79	7,628.75
adunc	90	4.515	1	644	35.43	262.60	8,049.45
indew	93	4.515	1	658	34.29	272.75	8,176.83
reive	96	4.515	1	713	33.22	276.15	8,069.78
fuels	102	4.515	1	636	31.27	285.84	7,959.35
pudge	104	4.515	1	708	30.66	289.47	7,935.80
frith	112	4.515	1	792	28.47	304.99	7,873.30
fount	104	4.515	1	842	30.66	315.97	8,748.40
odahs	76	4.514	1	505	41.96	222.10	7,558.59
nertz	75	4.514	1	526	42.52	229.42	7,947.08
rossa	85	4.514	1	551	37.52	242.35	7,684.77
oumas	95	4.514	1	527	33.57	256.82	7,494.06
waked	93	4.514	1	615	34.29	257.01	7,637.11
orbic	95	4.514	1	655	33.57	263.39	7,714.69
bhais	96	4.514	1	629	33.22	270.00	7,865.71
barks	97	4.514	1	689	32.88	272.85	7,889.59
ruder	103	4.514	1	688	30.96	275.51	7,571.42
tacks	87	4.514	1	770	36.66	285.98	9,138.87
pasch	104	4.514	1	845	30.66	323.35	8,974.65
krays	79	4.513	1	612	40.37	246.95	8,339.02
etats	91	4.513	1	568	35.04	254.15	7,678.33
melch	94	4.513	1	610	33.93	287.79	8,612.58
meuse	92	4.513	1	742	34.66	296.79	9,086.14
pinds	96	4.513	1	796	33.22	298.47	8,811.25
ghaut	105	4.513	1	759	30.37	300.39	8,201.00
plank	108	4.513	1	786	29.53	304.22	8,111.03
muons	101	4.513	1	850	31.57	320.65	9,127.27
snipy	105	4.513	1	862	30.37	321.41	8,839.28
hoves	91	4.512	1	525	35.04	242.87	7,283.18
bauds	101	4.512	1	664	31.57	265.89	7,398.26
alias	93	4.512	1	677	34.29	270.26	8,091.47
pipet	97	4.512	1	658	32.88	270.82	7,822.67
dured	94	4.512	1	688	33.93	275.21	8,185.79
fremd	95	4.512	1	699	33.57	278.32	8,215.76
verse	100	4.512	1	747	31.89	287.25	8,143.32
flout	109	4.512	1	776	29.26	296.73	7,825.37
flits	112	4.512	1	812	28.47	308.21	7,965.02
brede	102	4.512	1	831	31.27	311.24	8,753.37
month	104	4.512	1	841	30.66	315.63	8,738.13
cozen	84	4.511	1	542	37.96	250.78	8,079.22
dawns	95	4.511	1	701	33.57	269.68	7,926.03
ledgy	103	4.511	1	624	30.96	275.82	7,581.16
probs	89	4.511	1	715	35.83	278.56	8,697.22
polka	100	4.511	1	647	31.89	279.16	7,885.40
bolds	102	4.511	1	705	31.27	282.08	7,841.53
parky	101	4.511	1	715	31.57	283.67	7,959.63
swept	107	4.511	1	645	29.80	305.24	8,208.98
akene	85	4.510	1	603	37.52	255.53	8,179.40
veily	96	4.510	1	603	33.22	268.29	7,808.86
sials	88	4.510	1	677	36.24	269.18	8,441.52
rouks	88	4.510	1	702	36.24	275.00	8,652.25
dolor	101	4.510	1	703	31.57	283.38	7,950.60
mohrs	100	4.510	1	717	31.89	286.90	8,132.36
unity	91	4.510	1	779	35.04	288.77	8,891.58
bunas	103	4.510	1	712	30.96	289.72	8,011.49
mutis	103	4.510	1	849	30.96	317.96	8,885.96
nazir	76	4.509	1	592	41.96	236.29	8,154.22
yoked	80	4.509	1	513	39.86	240.22	7,986.92
sards	78	4.509	1	629	40.89	248.55	8,490.15
adeem	88	4.509	1	655	36.24	266.37	8,339.77
filos	104	4.509	1	671	30.66	270.78	7,362.92
tulps	107	4.509	1	847	29.80	316.30	8,538.57
chirp	103	4.509	1	829	30.96	321.88	9,007.12
mbari	85	4.508	1	571	37.52	252.19	8,054.01
vrils	86	4.508	1	627	37.08	256.36	8,131.24
udons	87	4.508	1	695	36.66	267.06	8,445.70
dynos	90	4.508	1	690	35.43	267.40	8,219.51
hudna	93	4.508	1	629	34.29	272.20	8,158.10
gaths	94	4.508	1	762	33.93	282.61	8,436.77
psalm	99	4.508	1	748	32.21	289.12	8,275.40
terre	99	4.508	1	783	32.21	298.77	8,586.27
sabes	87	4.507	1	553	36.66	241.32	7,502.20
obits	88	4.507	1	650	36.24	262.05	8,183.25
warms	86	4.507	1	696	37.08	272.26	8,720.94
calfs	95	4.507	1	759	33.57	287.07	8,509.76
doups	97	4.507	1	768	32.88	288.19	8,393.70
shako	101	4.507	1	655	31.57	288.36	8,107.71
campo	107	4.507	1	714	29.80	293.54	7,860.29
swoln	98	4.507	1	787	32.54	298.63	8,658.66
pring	95	4.507	1	784	33.57	303.21	9,051.47
gnash	91	4.507	1	776	35.04	304.11	9,429.29
crown	108	4.507	1	792	29.53	305.51	8,149.06
smith	108	4.507	1	930	29.53	349.89	9,459.51
mamie	88	4.506	1	459	36.24	230.05	7,023.50
coses	87	4.506	1	512	36.66	240.65	7,477.51
ocote	88	4.506	1	524	36.24	247.70	7,663.09
osone	85	4.506	1	562	37.52	249.37	7,948.11
antra	97	4.506	1	652	32.88	262.01	7,533.02
walds	91	4.506	1	691	35.04	267.65	8,151.38
frees	94	4.506	1	698	33.93	271.02	8,043.54
kraft	96	4.506	1	719	33.22	281.29	8,240.61
torts	99	4.506	1	734	32.21	284.53	8,127.66
fonts	99	4.506	1	789	32.21	295.63	8,485.14
clamp	109	4.506	1	843	29.26	320.77	8,528.89
oktas	81	4.505	1	552	39.37	243.41	8,033.29
abear	86	4.505	1	567	37.08	250.43	7,911.42
mogas	98	4.505	1	645	32.54	270.79	7,752.84
salts	97	4.505	1	762	32.88	284.06	8,258.01
blive	93	4.505	1	669	34.29	287.50	8,682.72
haply	103	4.505	1	770	30.96	293.80	8,137.67
sotol	93	4.505	1	808	34.29	301.55	9,164.51
phoca	103	4.505	1	682	30.96	308.16	8,582.43
ditch	95	4.505	1	834	33.57	313.46	9,395.61
majoe	77	4.504	1	462	41.42	221.31	7,450.24
drows	88	4.504	1	679	36.24	268.58	8,419.75
peake	88	4.504	1	654	36.24	269.37	8,448.32
gyeld	96	4.504	1	624	33.22	274.83	8,026.05
sleek	98	4.504	1	739	32.54	290.85	8,405.51
camus	98	4.504	1	771	32.54	294.47	8,523.29
bitsy	94	4.504	1	813	33.93	299.61	9,013.54
corby	101	4.504	1	784	31.57	300.50	8,491.04
hurty	105	4.504	1	743	30.37	301.27	8,227.68
noses	84	4.503	1	480	37.96	232.17	7,372.82
ruses	86	4.503	1	562	37.08	239.83	7,518.14
moves	89	4.503	1	547	35.83	249.45	7,654.34
slues	91	4.503	1	612	35.04	262.51	7,971.29
glaze	95	4.503	1	567	33.57	262.56	7,686.86
batik	92	4.503	1	693	34.66	275.42	8,345.51
panko	104	4.503	1	668	30.66	278.63	7,603.45
liana	93	4.503	1	739	34.29	279.60	8,411.88
grips	94	4.503	1	722	33.93	283.41	8,463.79
wanty	101	4.503	1	731	31.57	285.37	8,013.43
tirrs	88	4.503	1	776	36.24	290.89	9,228.39
stonk	94	4.503	1	795	33.93	303.22	9,136.11
chons	111	4.503	1	864	28.73	329.01	8,627.08
salix	89	4.502	1	658	35.83	257.40	7,939.15
virls	89	4.502	1	627	35.83	259.81	8,025.58
tells	89	4.502	1	575	35.83	261.02	8,068.86
lemes	85	4.502	1	676	37.52	265.87	8,567.17
rypin	95	4.502	1	679	33.57	276.59	8,157.70
facts	94	4.502	1	748	33.93	281.35	8,394.18
leben	93	4.502	1	714	34.29	283.20	8,535.09
geode	90	4.502	1	759	35.43	285.84	8,872.58
sagar	93	4.502	1	767	34.29	287.42	8,679.95
gurns	107	4.502	1	748	29.80	306.97	8,260.51
sting	99	4.502	1	829	32.21	309.96	8,946.69
munge	107	4.502	1	665	29.80	313.49	8,454.94
snack	98	4.502	1	817	32.54	317.95	9,287.49
doses	83	4.501	1	573	38.42	244.25	7,908.34
daubs	92	4.501	1	664	34.66	261.11	7,849.33
yonic	86	4.501	1	713	37.08	268.71	8,589.05
welsh	100	4.501	1	598	31.89	280.40	7,924.96
skeet	92	4.501	1	740	34.66	290.33	8,862.31
porks	103	4.501	1	745	30.96	292.21	8,088.70
bowed	101	4.501	1	705	31.57	294.44	8,299.79
borms	99	4.501	1	745	32.21	297.87	8,557.38
lurch	103	4.501	1	720	30.96	302.84	8,417.69
beted	101	4.501	1	819	31.57	313.22	8,892.70
aahed	79	4.500	1	592	40.37	240.22	8,067.50
wyles	86	4.500	1	538	37.08	241.58	7,582.98
jaspe	78	4.500	1	518	40.89	242.77	8,254.18
menes	87	4.500	1	668	36.66	265.80	8,399.33
korus	87	4.500	1	702	36.66	274.39	8,714.29
natal	94	4.500	1	734	33.93	280.90	8,378.86
haulm	94	4.500	1	759	33.93	288.47	8,635.66
gyron	99	4.500	1	733	32.21	292.77	8,393.12
peels	105	4.500	1	688	30.37	293.09	7,979.26
gwine	104	4.500	1	672	30.66	299.11	8,231.43
mucro	105	4.500	1	778	30.37	307.33	8,411.53
thank	105	4.500	1	784	30.37	307.64	8,421.15
blunt	104	4.500	1	830	30.66	318.82	8,835.88
soupy	98	4.500	1	870	32.54	323.10	9,455.02
gluon	107	4.500	1	861	29.80	332.65	9,025.86
degus	97	4.499	1	603	32.88	260.17	7,472.46
dozen	89	4.499	1	615	35.83	261.93	8,101.33
steme	95	4.499	1	690	33.57	285.44	8,454.88
baths	94	4.499	1	768	33.93	287.27	8,594.90
gandy	103	4.499	1	772	30.96	303.19	8,428.64
firth	108	4.499	1	792	29.53	308.20	8,228.56
nutsy	105	4.499	1	839	30.37	313.51	8,599.19
cuish	107	4.499	1	920	29.80	350.02	9,543.60
appel	90	4.498	1	553	35.43	245.23	7,433.93
ceroc	89	4.498	1	554	35.83	251.53	7,728.66
cecal	93	4.498	1	534	34.29	260.96	7,772.59
tasto	96	4.498	1	631	33.22	265.50	7,716.05
namus	90	4.498	1	702	35.43	269.21	8,283.49
dumas	99	4.498	1	659	32.21	270.37	7,671.58
frier	101	4.498	1	658	31.57	270.71	7,550.58
milds	94	4.498	1	708	33.93	278.78	8,306.92
ambit	99	4.498	1	670	32.21	283.14	8,082.77
lawsy	94	4.498	1	759	33.93	287.21	8,592.86
roton	106	4.498	1	740	30.09	294.97	7,968.98
burns	103	4.498	1	720	30.96	295.08	8,177.42
dined	105	4.498	1	710	30.37	295.69	8,058.14
rougy	97	4.498	1	760	32.88	296.31	8,660.67
papes	87	4.497	1	530	36.66	237.71	7,369.61
ralli	87	4.497	1	550	36.66	239.21	7,424.59
hylas	94	4.497	1	670	33.93	271.13	8,047.41
alary	96	4.497	1	658	33.22	272.16	7,937.48
plebs	95	4.497	1	580	33.57	274.23	8,078.75
botte	96	4.497	1	610	33.22	275.03	8,032.80
glees	95	4.497	1	691	33.57	276.89	8,168.01
molle	93	4.497	1	595	34.29	278.28	8,366.31
musee	96	4.497	1	742	33.22	288.48	8,479.50
curdy	99	4.497	1	713	32.21	289.93	8,301.72
bunia	105	4.497	1	609	30.37	291.74	7,938.27
winge	100	4.497	1	672	31.89	298.31	8,496.28
speed	96	4.497	1	799	33.22	302.16	8,933.92
savoy	89	4.496	1	627	35.83	255.69	7,877.74
fakir	97	4.496	1	637	32.88	262.96	7,564.23
omlah	90	4.496	1	622	35.43	273.60	8,439.18
spahi	91	4.496	1	634	35.04	277.45	8,495.03
flory	101	4.496	1	665	31.57	277.73	7,772.05
limpa	97	4.496	1	673	32.88	284.85	8,283.88
roots	94	4.496	1	734	33.93	285.81	8,545.18
mohur	102	4.496	1	767	31.27	295.17	8,251.06
ringy	108	4.496	1	737	29.53	301.38	8,027.25
gamut	102	4.496	1	791	31.27	305.01	8,558.45
knawe	95	4.495	1	548	33.57	253.30	7,375.89
lofts	97	4.495	1	723	32.88	276.63	8,013.59
smorg	90	4.495	1	727	35.43	281.44	8,716.93
bedim	102	4.495	1	664	31.27	286.15	7,968.98
bandy	105	4.495	1	756	30.37	295.88	8,063.97
titan	102	4.495	1	727	31.27	297.67	8,329.12
ylkes	80	4.494	1	523	39.86	233.94	7,736.32
octet	87	4.494	1	524	36.66	244.96	7,635.51
tenno	89	4.494	1	558	35.83	257.51	7,943.22
salis	96	4.494	1	677	33.22	266.70	7,755.88
wauls	83	4.494	1	712	38.42	271.47	8,954.24
hyoid	92	4.494	1	725	34.66	271.49	8,209.27
posse	95	4.494	1	590	33.57	277.53	8,189.40
droid	98	4.494	1	725	32.54	283.83	8,177.23
blurs	105	4.494	1	663	30.37	284.99	7,733.03
mango	110	4.494	1	701	28.99	291.46	7,609.23
podus	92	4.494	1	768	34.66	292.38	8,933.29
clift	105	4.494	1	851	30.37	322.71	8,878.61
churn	110	4.494	1	813	28.99	326.76	8,632.63
omega	94	4.493	1	440	33.93	235.65	6,843.69
axels	77	4.493	1	523	41.42	239.54	8,205.59
joule	77	4.493	1	564	41.42	245.16	8,438.22
pikey	89	4.493	1	548	35.83	260.27	8,042.03
skerm	92	4.493	1	554	34.66	262.16	7,885.68
vower	94	4.493	1	635	33.93	264.15	7,810.32
allee	86	4.493	1	685	37.08	274.83	8,816.14
sever	99	4.493	1	747	32.21	285.07	8,145.10
adnex	83	4.492	1	560	38.42	240.46	7,762.75
oasal	87	4.492	1	631	36.66	256.60	8,061.97
lotta	97	4.492	1	604	32.88	261.96	7,531.51
aphid	84	4.492	1	612	37.96	266.46	8,674.82
dictu	88	4.492	1	738	36.24	274.42	8,631.45
tutes	95	4.492	1	644	33.57	276.41	8,151.93
bhels	98	4.492	1	617	32.54	279.53	8,037.23
blees	100	4.492	1	711	31.89	284.26	8,048.24
kilts	92	4.492	1	784	34.66	293.38	8,967.77
dongs	99	4.492	1	771	32.21	298.09	8,564.51
monic	101	4.492	1	799	31.57	302.93	8,567.71
crimp	102	4.492	1	822	31.27	314.40	8,852.16
songy	94	4.492	1	863	33.93	319.66	9,693.75
zines	77	4.491	1	546	41.42	240.55	8,247.31
sices	80	4.491	1	591	39.86	251.83	8,449.54
haiks	93	4.491	1	683	34.29	272.60	8,171.78
brawl	97	4.491	1	713	32.88	279.98	8,123.78
furos	101	4.491	1	705	31.57	285.26	8,009.97
divot	107	4.491	1	749	29.80	287.92	7,692.77
chiru	95	4.491	1	748	33.57	293.08	8,711.36
sumac	99	4.491	1	771	32.21	304.36	8,766.37
culty	100	4.491	1	795	31.89	305.11	8,713.08
poort	105	4.491	1	831	30.37	322.97	8,886.54
xenia	83	4.490	1	422	38.42	232.65	7,462.61
jures	82	4.490	1	551	38.89	233.78	7,579.24
arsis	85	4.490	1	554	37.52	242.70	7,698.13
sycee	79	4.490	1	597	40.37	246.22	8,309.57
aviso	100	4.490	1	515	31.89	250.55	6,973.00
abeng	85	4.490	1	536	37.52	261.28	8,395.05
blaze	92	4.490	1	586	34.66	263.68	7,938.42
lefty	97	4.490	1	607	32.88	269.89	7,792.23
micos	99	4.490	1	691	32.21	276.36	7,864.61
cheba	96	4.490	1	591	33.22	279.37	8,176.88
abuts	97	4.490	1	692	32.88	280.38	8,137.12
drool	94	4.490	1	703	33.93	281.35	8,393.94
leugh	97	4.490	1	623	32.88	283.55	8,241.08
petit	102	4.490	1	658	31.27	296.38	8,288.72
punts	101	4.490	1	896	31.57	335.57	9,598.40
techy	100	4.489	1	668	31.89	278.59	7,867.18
nidus	92	4.489	1	743	34.66	278.76	8,461.01
guyed	97	4.489	1	645	32.88	280.62	8,145.04
wodge	99	4.489	1	698	32.21	290.44	8,318.11
sluse	95	4.489	1	612	33.57	290.77	8,633.85
mocap	106	4.489	1	714	30.09	297.80	8,054.04
wanly	95	4.489	1	784	33.57	298.67	8,898.98
anigh	102	4.489	1	702	31.27	298.99	8,370.41
devis	96	4.488	1	625	33.22	260.04	7,534.65
kyars	79	4.488	1	612	40.37	260.24	8,875.80
fiver	100	4.488	1	644	31.89	268.35	7,540.56
perky	101	4.488	1	555	31.57	270.20	7,534.48
blays	88	4.488	1	720	36.24	280.43	8,849.20
swarm	96	4.488	1	696	33.22	282.37	8,276.42
bahts	94	4.488	1	768	33.93	289.39	8,666.66
myoid	95	4.488	1	767	33.57	291.98	8,674.39
ycond	90	4.488	1	797	35.43	293.99	9,161.67
spelk	102	4.488	1	637	31.27	297.92	8,336.90
notum	106	4.488	1	791	30.09	299.44	8,103.42
copsy	101	4.488	1	848	31.57	316.09	8,983.43
devos	95	4.487	1	548	33.57	246.46	7,146.46
redox	91	4.487	1	613	35.04	248.75	7,489.10
herye	86	4.487	1	584	37.08	249.47	7,875.63
smaze	87	4.487	1	521	36.66	253.78	7,958.85
retry	97	4.487	1	536	32.88	257.75	7,392.93
enoki	89	4.487	1	649	35.83	260.25	8,041.08
rerun	91	4.487	1	566	35.04	261.70	7,943.05
polys	94	4.487	1	761	33.93	291.35	8,733.26
pwned	105	4.487	1	741	30.37	297.86	8,123.99
porgy	103	4.487	1	795	30.96	309.29	8,617.53
linch	96	4.487	1	864	33.22	324.32	9,670.05
ptish	108	4.487	1	944	29.53	359.01	9,728.73
geasa	85	4.486	1	549	37.52	262.63	8,445.54
kelim	86	4.486	1	563	37.08	264.81	8,444.45
lurgi	96	4.486	1	628	33.22	266.58	7,752.03
gyros	90	4.486	1	656	35.43	267.75	8,231.65
trots	98	4.486	1	734	32.54	284.48	8,198.19
paras	97	4.486	1	760	32.88	293.26	8,560.54
pedes	94	4.486	1	799	33.93	302.64	9,116.26
sweet	105	4.486	1	780	30.37	307.24	8,408.90
hynde	94	4.485	1	534	33.93	242.27	7,068.26
bydes	87	4.485	1	593	36.66	249.62	7,806.29
vaids	94	4.485	1	622	33.93	251.72	7,388.88
kefir	89	4.485	1	562	35.83	255.47	7,869.89
laura	87	4.485	1	634	36.66	256.77	8,068.34
ylems	86	4.485	1	624	37.08	262.14	8,345.35
kanae	89	4.485	1	603	35.83	268.34	8,331.13
hoved	98	4.485	1	656	32.54	274.41	7,870.62
vista	94	4.485	1	653	33.93	274.52	8,162.13
bomas	100	4.485	1	651	31.89	278.60	7,867.46
slats	94	4.485	1	762	33.93	294.90	8,853.64
palmy	115	4.485	1	841	27.73	323.80	8,210.27
neoza	76	4.484	1	405	41.96	214.90	7,256.64
vague	102	4.484	1	541	31.27	256.99	7,057.14
yowed	91	4.484	1	556	35.04	257.68	7,802.02
repro	93	4.484	1	582	34.29	261.09	7,777.04
tasso	89	4.484	1	631	35.83	263.89	8,171.76
bitou	92	4.484	1	649	34.66	265.59	8,004.79
debus	98	4.484	1	621	32.54	266.15	7,601.80
wacke	93	4.484	1	579	34.29	267.41	7,993.78
nuked	90	4.484	1	650	35.43	269.62	8,298.16
elude	95	4.484	1	725	33.57	281.87	8,335.02
tewel	94	4.484	1	719	33.93	282.58	8,435.69
trout	103	4.484	1	777	30.96	297.80	8,261.75
goban	110	4.484	1	718	28.99	309.75	8,139.37
mases	87	4.483	1	539	36.66	241.95	7,525.24
covey	88	4.483	1	478	36.24	249.10	7,713.70
torii	81	4.483	1	667	39.37	257.43	8,585.02
pegma	96	4.483	1	535	33.22	275.84	8,059.57
sains	87	4.483	1	719	36.66	278.19	8,853.35
drums	88	4.483	1	703	36.24	278.30	8,772.11
ludic	93	4.483	1	745	34.29	285.64	8,618.81
spork	97	4.483	1	745	32.88	295.30	8,627.51
rough	101	4.483	1	786	31.57	306.59	8,683.47
radix	94	4.482	1	578	33.93	246.89	7,224.81
mikra	92	4.482	1	587	34.66	265.68	8,007.64
nurdy	93	4.482	1	665	34.29	276.14	8,292.96
mowra	99	4.482	1	622	32.21	278.42	7,930.79
deify	97	4.482	1	596	32.88	278.67	8,080.75
braks	100	4.482	1	689	31.89	281.88	7,972.12
theow	96	4.482	1	647	33.22	283.87	8,326.42
arhat	91	4.482	1	750	35.04	284.01	8,724.83
biked	94	4.482	1	693	33.93	286.62	8,572.90
frosh	94	4.482	1	763	33.93	296.90	8,921.58
alumy	100	4.482	1	754	31.89	300.94	8,580.12
creek	96	4.482	1	782	33.22	301.19	8,901.50
capex	90	4.481	1	578	35.43	252.76	7,700.65
brize	93	4.481	1	611	34.29	258.33	7,682.31
uncia	103	4.481	1	543	30.96	269.72	7,392.17
firma	97	4.481	1	607	32.88	273.95	7,925.53
undee	97	4.481	1	745	32.88	281.45	8,172.31
ploys	93	4.481	1	761	34.29	293.77	8,897.52
group	104	4.481	1	796	30.66	306.38	8,454.47
swath	111	4.481	1	839	28.73	337.70	8,876.70
mixer	88	4.480	1	599	36.24	252.25	7,827.98
birze	93	4.480	1	611	34.29	259.05	7,707.00
koaps	91	4.480	1	652	35.04	268.81	8,191.93
umrah	97	4.480	1	639	32.88	270.84	7,823.49
hurds	98	4.480	1	672	32.54	278.61	8,007.33
hilus	88	4.480	1	780	36.24	291.53	9,251.39
sheng	91	4.480	1	676	35.04	295.20	9,116.99
epoch	96	4.480	1	719	33.22	305.66	9,050.17
wonts	94	4.480	1	829	33.93	312.82	9,461.62
basho	97	4.479	1	619	32.88	260.07	7,469.18
nmols	87	4.479	1	710	36.66	273.24	8,672.00
ebony	99	4.479	1	743	32.21	290.76	8,328.25
bogan	110	4.479	1	718	28.99	309.75	8,139.37
donor	103	4.479	1	793	30.96	309.90	8,636.37
lemed	97	4.479	1	816	32.88	312.73	9,200.44
idees	83	4.478	1	644	38.42	255.96	8,358.15
evils	93	4.478	1	579	34.29	266.16	7,951.00
herby	98	4.478	1	556	32.54	266.66	7,618.53
spang	90	4.478	1	764	35.43	296.63	9,255.25
balms	102	4.478	1	774	31.27	298.03	8,340.31
turks	96	4.478	1	782	33.22	306.59	9,081.05
proot	106	4.478	1	831	30.09	320.39	8,733.68
murth	113	4.478	1	815	28.22	326.43	8,415.82
rejon	81	4.477	1	490	39.37	235.47	7,720.46
infra	92	4.477	1	548	34.66	251.36	7,511.44
aceta	92	4.477	1	575	34.66	255.24	7,645.90
scody	86	4.477	1	692	37.08	268.98	8,599.14
festy	94	4.477	1	625	33.93	276.81	8,240.15
lowts	89	4.477	1	740	35.83	283.49	8,873.87
acing	98	4.477	1	696	32.54	285.53	8,232.47
rigmo	110	4.477	1	696	28.99	285.82	7,445.81
malar	99	4.477	1	756	32.21	296.08	8,499.78
boxer	88	4.476	1	624	36.24	259.11	8,076.73
fands	85	4.476	1	664	37.52	261.34	8,397.21
scudo	93	4.476	1	706	34.29	277.12	8,326.83
vimen	102	4.476	1	643	31.27	280.56	7,794.04
oxies	76	4.475	1	383	41.96	215.61	7,286.22
loess	85	4.475	1	596	37.52	253.65	8,108.72
datto	90	4.475	1	621	35.43	263.37	8,076.65
grize	96	4.475	1	610	33.22	263.70	7,656.40
kepis	87	4.475	1	566	36.66	264.85	8,364.59
undos	92	4.475	1	695	34.66	270.63	8,179.25
reems	90	4.475	1	644	35.43	273.13	8,422.25
stars	81	4.475	1	676	39.37	274.03	9,238.58
coact	91	4.475	1	678	35.04	275.02	8,409.82
logic	94	4.475	1	714	33.93	275.86	8,207.77
prowl	90	4.475	1	712	35.43	283.83	8,801.60
dorky	97	4.475	1	743	32.88	289.37	8,432.44
stimy	97	4.475	1	805	32.88	304.47	8,928.97
lings	94	4.475	1	802	33.93	305.77	9,222.58
gatch	91	4.475	1	811	35.04	308.92	9,597.84
pondy	100	4.475	1	844	31.89	319.69	9,177.80
uveal	88	4.474	1	511	36.24	246.77	7,629.50
yiked	81	4.474	1	568	39.37	253.82	8,442.97
mihas	90	4.474	1	649	35.43	271.59	8,367.89
mawrs	84	4.474	1	696	37.96	278.17	9,119.32
avion	106	4.474	1	587	30.09	278.73	7,480.38
rotos	95	4.474	1	734	33.57	286.98	8,506.67
sewel	92	4.474	1	763	34.66	292.77	8,946.90
serre	91	4.474	1	781	35.04	297.89	9,211.12
shank	103	4.474	1	827	30.96	329.34	9,238.11
bedel	104	4.474	1	867	30.66	332.23	9,247.05
zoril	81	4.473	1	601	39.37	243.60	8,040.53
ratty	99	4.473	1	665	32.21	271.67	7,713.52
wrier	84	4.473	1	671	37.96	274.05	8,962.75
sents	79	4.473	1	595	40.37	277.38	9,567.68
ancho	100	4.473	1	631	31.89	277.69	7,838.64
beers	94	4.473	1	669	33.93	283.00	8,449.98
thelf	92	4.473	1	627	34.66	285.51	8,694.98
clogs	88	4.473	1	733	36.24	286.38	9,064.73
kuias	86	4.472	1	553	37.08	261.67	8,328.12
kafir	95	4.472	1	637	33.57	263.41	7,715.34
hoagy	93	4.472	1	665	34.29	274.94	8,252.08
fauns	90	4.472	1	729	35.43	282.39	8,750.49
renew	90	4.472	1	732	35.43	284.54	8,826.73
sigma	96	4.472	1	664	33.22	285.85	8,392.13
skelp	96	4.472	1	637	33.22	297.66	8,784.46
satay	93	4.472	1	812	34.29	302.90	9,210.79
bolus	104	4.472	1	803	30.66	309.63	8,554.22
towns	92	4.472	1	829	34.66	312.68	9,636.81
mened	100	4.472	1	815	31.89	313.68	8,986.24
waxer	77	4.471	1	588	41.42	239.36	8,197.98
inbye	79	4.471	1	514	40.37	242.68	8,166.61
oxine	86	4.471	1	512	37.08	242.86	7,630.49
akees	75	4.471	1	576	42.52	247.04	8,695.98
nines	86	4.471	1	563	37.08	250.75	7,923.21
ecigs	86	4.471	1	593	37.08	259.28	8,239.47
aspic	91	4.471	1	608	35.04	261.71	7,943.16
atoll	92	4.471	1	604	34.66	263.32	7,925.88
wyted	92	4.471	1	614	34.66	265.20	7,991.18
rawdy	93	4.471	1	641	34.29	267.47	7,995.67
venae	91	4.471	1	663	35.04	271.94	8,301.65
tithe	98	4.471	1	638	32.54	283.99	8,182.29
groms	101	4.471	1	727	31.57	288.02	8,097.10
moved	96	4.471	1	706	33.22	292.57	8,615.30
laugh	99	4.471	1	772	32.21	297.11	8,532.83
shirk	98	4.471	1	760	32.54	306.44	8,913.00
pinga	104	4.471	1	701	30.66	308.54	8,520.63
prink	101	4.471	1	802	31.57	317.02	9,012.84
picul	98	4.471	1	843	32.54	317.87	9,284.84
cupid	105	4.471	1	877	30.37	331.83	9,155.66
fends	88	4.470	1	583	36.24	255.07	7,930.32
raver	88	4.470	1	634	36.24	256.94	7,997.98
